Date,Suspanded Matter,Sulfur dioxide,Carbon monoxide,Nitrogen dioxide,Nitrous oxide,Phenol,Hydrogen chloride,Ammonia,Formaldehyde
2020-05-27,0.3317,0.375,0.2583,1.7562,0.4558,0.6278,0.1504,0.1431,1.3167
2020-05-28,0.45,0.5242,0.3367,1.225,0.3169,0.7389,0.1699,0.0894,1.0
2020-05-29,0.335,0.4975,0.2983,1.7188,0.4681,1.05,0.076,0.1512,1.2389
2020-05-30,0.2783,0.5103,0.36,1.5966,0.3727,0.7111,0.076,0.1581,0.3333
2020-05-31,0.27749999999999997,0.4909,0.32165,1.54485,0.38085,0.6860999999999999,0.0857,0.2025,0.7611000000000001
2020-06-01,0.2767,0.4715,0.2833,1.4931,0.389,0.6611,0.0954,0.2469,1.1889
2020-06-02,0.39,0.503,0.2808,1.5816,0.3812,0.7333,0.088,0.2531,1.6556
2020-06-03,0.395,0.489,0.3125,1.5419,0.3925,0.8722,0.0791,0.3188,1.7278
2020-06-04,0.4,0.5538,0.3667,0.8044,0.1708,0.7167,0.0952,0.2375,0.9278
2020-06-05,0.755,0.6877,0.4342,1.0212,0.2046,0.5611,0.1165,0.2475,1.2278
2020-06-06,0.4667,0.5995,0.4992,1.1225,0.1658,0.6611,0.1198,0.285,1.3833
2020-06-07,0.5255666666666666,0.4930666666666667,0.5025333333333333,0.9498000000000001,0.1438,0.6518333333333334,0.10286666666666668,0.2383333333333333,1.5185
2020-06-08,0.5844333333333334,0.3866333333333334,0.5058666666666667,0.7771000000000001,0.12179999999999999,0.6425666666666666,0.08593333333333333,0.19166666666666665,1.6537
2020-06-09,0.6433,0.2802,0.5092,0.6044,0.0998,0.6333,0.069,0.145,1.7889
2020-06-10,0.8083,0.4128,0.5508,0.4975,0.0988,0.6389,0.0624,0.265,1.4667
2020-06-11,0.8217,0.3625,0.5858,0.6062,0.0925,0.8056,0.0974,0.23,1.6444
2020-06-12,0.475,0.5422,0.6233,0.9178,0.1463,0.6833,0.101,0.1812,1.1611
2020-06-13,0.4133,0.4645,0.7108,0.7669,0.1085,0.85,0.0696,0.2825,1.35
2020-06-14,0.3808,0.40490000000000004,0.60165,0.80515,0.11435000000000001,0.9389000000000001,0.08285000000000001,0.22315,1.19445
2020-06-15,0.3483,0.3453,0.4925,0.8434,0.1202,1.0278,0.0961,0.1638,1.0389
2020-06-16,0.46,0.5035,0.6,0.5134,0.1971,1.0778,0.1641,0.1369,2.25
2020-06-17,0.5767,0.4825,0.5517,0.8003,0.1135,0.7944,0.1035,0.2256,2.5
2020-06-18,0.2883,0.4222,0.4883,0.5294,0.1527,0.4889,0.0452,0.1694,1.1667
2020-06-19,0.5183,0.382,0.6292,0.8603,0.2781,0.5833,0.0305,0.1419,1.0778
2020-06-20,0.635,0.434,0.5683,0.8553,0.216,0.4167,0.0625,0.2275,1.4222
2020-06-21,0.49085,0.35625,0.5729,0.76345,0.19624999999999998,0.50835,0.06555,0.21345,1.2999999999999998
2020-06-22,0.3467,0.2785,0.5775,0.6716,0.1765,0.6,0.0686,0.1994,1.1778
2020-06-23,0.3467,0.304,0.5383,0.7519,0.1538,0.8444,0.0835,0.1625,1.3778
2020-06-24,0.8,0.2365,0.615,0.9784,0.3735,0.75,0.0802,0.2319,1.1611
2020-06-25,0.4,0.4702,0.5833,1.2809,0.4748,0.5278,0.0878,0.2806,2.0944
2020-06-26,0.4017,0.452,0.6233,1.0425,0.3425,0.5722,0.0855,0.2744,1.1222
2020-06-27,0.515,0.5062,0.6608,0.8634,0.2565,0.8222,0.066,0.2481,1.7722
2020-06-28,0.5172333333333333,0.5242,0.6672,0.7928999999999999,0.33613333333333334,0.8722,0.06093333333333333,0.24123333333333333,1.8870333333333333
2020-06-29,0.5194666666666667,0.5422,0.6736000000000001,0.7224,0.4157666666666667,0.9222,0.05586666666666667,0.23436666666666667,2.0018666666666665
2020-06-30,0.5217,0.5602,0.68,0.6519,0.4954,0.9722,0.0508,0.2275,2.1167
2020-07-01,0.52,0.4152,0.5667,1.2434,0.5348,0.4611,0.2876,0.2781,0.7389
2020-07-02,0.7,0.5592,0.6133,1.1431,0.6619,0.4389,0.2949,0.1288,1.1444
