Date,Suspanded Matter,Sulfur dioxide,Carbon monoxide,Nitrogen dioxide,Nitrous oxide,Phenol,Hydrogen chloride,Ammonia,Formaldehyde
3/27/2020,0.5,0.5,0.7,1.3,0.3,1.0,0.1,0.1,0.9
3/28/2020,0.5,0.5,0.8,1.3,0.3,1.1,0.1,0.1,1.5
3/29/2020,,,,,,,,,
3/30/2020,0.3,0.6,0.4,1.0,0.3,1.1,0.1,0.1,0.9
3/31/2020,0.3,0.5,0.4,0.9,0.2,0.6,0.1,0.2,1.0
4/1/2020,0.4,0.5,0.4,1.4,0.3,0.7,0.1,0.2,1.1
4/2/2020,0.4,0.5,0.6,1.4,0.4,0.8,0.2,0.2,1.7
4/3/2020,0.5,0.5,0.6,1.6,0.4,0.5,0.1,0.2,1.5
4/4/2020,0.5,0.5,0.5,1.5,0.4,0.5,0.1,0.2,1.8
4/5/2020,,,,,,,,,
4/6/2020,0.40,0.50,0.60,1.80,0.50,0.80,0.00,0.20,0.90
4/7/2020,0.30,0.60,0.60,1.80,0.50,0.90,0.10,0.20,1.70
4/8/2020,0.50,0.60,0.60,1.70,0.50,0.90,0.10,0.40,1.40
4/9/2020,0.50,0.80,0.60,2.10,0.60,0.80,0.20,0.40,1.60
4/10/2020,0.30,0.80,0.60,1.90,0.60,0.40,0.20,0.30,1.80
4/11/2020,0.30,0.70,0.40,1.90,0.60,0.50,0.10,0.30,1.60
4/12/2020,,,,,,,,,
4/13/2020,0.3,0.6,0.5,2.3,0.7,0.6,0.1,0.3,1.1
4/14/2020,0.5,0.4,0.4,2.0,0.6,0.7,0.1,0.2,1.0
4/15/2020,0.4,0.3,0.4,1.9,0.5,0.7,0.1,0.2,1.6
4/16/2020,0.4,0.6,0.5,1.7,0.4,0.6,0.1,0.2,1.2
4/17/2020,0.4,0.5,0.6,1.6,0.4,0.6,0.1,0.2,1.2
4/18/2020,0.3,0.5,0.5,1.9,0.5,0.7,0.1,0.1,1.4
4/19/2020,,,,,,,,,
4/20/2020,,,,,,,,,
4/21/2020,0.2,0.4,0.4,1.7,0.4,0.5,0.0,0.2,1.0
4/22/2020,0.3,0.6,0.4,2.0,0.6,0.4,0.0,0.2,1.2
4/23/2020,0.4,0.3,0.5,1.1,0.3,0.4,0.0,0.3,1.1
4/24/2020,0.4,0.5,0.5,2.4,0.8,0.4,0.1,0.1,1.7
4/25/2020,0.2,0.6,0.5,2.2,0.7,0.4,0.1,0.2,3.6
4/26/2020,,,,,,,,,
4/27/2020,0.3,0.7,0.5,1.8,0.5,0.9,0.1,0.2,2.1
4/28/2020,0.3,0.5,0.5,1.6,0.4,0.8,0.1,0.3,2.0
4/29/2020,0.4,0.6,0.5,2.0,0.5,0.8,0.1,0.2,2.0
4/30/2020,0.3,0.6,0.6,2.0,0.6,0.5,0.1,0.2,1.7
5/1/2020,,,,,,,,,
5/2/2020,0.4,0.5,0.5,2.2,0.6,0.6,0.1,0.3,1.3
5/3/2020,,,,,,,,,
5/4/2020,0.2800,0.4280,0.5350,2.3053,0.6748,0.6444,0.0860,0.2612,2.1889
5/5/2020,0.3367,0.4732,0.4992,2.3166,0.6850,0.6889,0.1012,0.1244,1.4833
5/6/2020,0.2750,0.3925,0.3767,2.1225,0.6158,0.8167,0.0950,0.2181,1.3167
5/7/2020,0.3883,0.4160,0.4375,1.7822,0.4983,0.5111,0.0651,0.2031,1.5000
5/8/2020,0.3317,0.4780,0.5083,2.0822,0.6058,0.5167,0.1046,0.1631,1.5167
5/9/2020,,,,,,,,,
5/10/2020,,,,,,,,,
5/11/2020,0.4633,0.5152,0.5417,2.1628,0.6206,0.8000,0.0941,0.1837,1.6278
5/12/2020,0.3367,0.5357,0.4275,1.9794,0.5692,0.6667,0.0749,0.1538,1.3889
5/13/2020,0.3317,0.4942,0.3400,2.0450,0.6094,0.5833,0.0896,0.2094,1.1778
5/14/2020,0.2217,0.3038,0.3200,1.9644,0.5367,0.6056,0.0667,0.1088,0.6111
5/15/2020,0.3317,0.3317,0.2800,1.7959,0.4717,0.5556,0.0794,0.1088,1.1778
5/16/2020,0.3333,0.5318,0.3233,1.9703,0.5110,0.6500,0.0878,0.1431,1.0889
5/17/2020,,,,,,,,,
5/18/2020,0.3917,0.5935,0.3633,1.9881,0.5142,0.3722,0.0784,0.2269,1.0889
5/19/2020,0.4550,0.4520,0.4183,2.0016,0.4438,0.6722,0.0949,0.2531,1.0611
5/20/2020,0.3367,0.4300,0.4717,1.6775,0.4269,0.5500,0.0567,0.2188,1.0500
5/21/2020,0.3883,0.4960,0.3158,2.0219,0.5154,0.6000,0.0464,0.2050,0.7556
5/22/2020,0.3817,0.5028,0.2792,1.8956,0.5127,0.6056,0.0912,0.1412,1.2556
5/23/2020,0.3900,0.4998,0.3058,1.6675,0.4294,0.6500,0.1221,0.1775,1.0389
5/24/2020,,,,,,,,,
5/25/2020,0.3317,0.5512,0.2833,1.9631,0.5356,0.8833,0.0703,0.1156,0.7889
5/26/2020,0.2200,0.6320,0.2833,1.6812,0.4129,0.7667,0.1795,0.1219,1.4500
5/27/2020,0.3317,0.3750,0.2583,1.7562,0.4558,0.6278,0.1504,0.1431,1.3167
5/28/2020,0.4500,0.5242,0.3367,1.2250,0.3169,0.7389,0.1699,0.0894,1.0000
5/29/2020,0.3350,0.4975,0.2983,1.7188,0.4681,1.0500,0.0760,0.1512,1.2389
5/30/2020,0.2783,0.5103,0.3600,1.5966,0.3727,0.7111,0.0760,0.1581,0.3333
5/31/2020,,,,,,,,,
6/1/2020,0.2767,0.4715,0.2833,1.4931,0.3890,0.6611,0.0954,0.2469,1.1889
6/2/2020,0.3900,0.5030,0.2808,1.5816,0.3812,0.7333,0.0880,0.2531,1.6556
6/3/2020,0.3950,0.4890,0.3125,1.5419,0.3925,0.8722,0.0791,0.3188,1.7278
6/4/2020,0.4000,0.5538,0.3667,0.8044,0.1708,0.7167,0.0952,0.2375,0.9278
6/5/2020,0.7550,0.6877,0.4342,1.0212,0.2046,0.5611,0.1165,0.2475,1.2278
6/6/2020,0.4667,0.5995,0.4992,1.1225,0.1658,0.6611,0.1198,0.2850,1.3833
6/7/2020,,,,,,,,,
6/8/2020,,,,,,,,,
6/9/2020,0.6433,0.2802,0.5092,0.6044,0.0998,0.6333,0.0690,0.1450,1.7889
6/10/2020,0.8083,0.4128,0.5508,0.4975,0.0988,0.6389,0.0624,0.2650,1.4667
