Date,Suspanded Matter,Sulfur dioxide,Carbon monoxide,Nitrogen dioxide,Nitrous oxide,Phenol,Hydrogen chloride,Ammonia,Formaldehyde
2020-01-01,,,,,,,,,
2020-01-02,0.6,0.4,1.6,1.9,0.6,0.9,0.1,0.3,1.2
2020-01-03,0.3,0.5,1.8,1.7,0.5,1.0,0.1,0.3,1.1
2020-01-04,0.3,0.4,1.7,1.7,0.5,1.2,0.1,0.4,1.0
2020-01-05,0.3,0.6,2.1,2.0,0.5,1.4,0.1,0.3,0.9
2020-01-06,0.3,0.55,2.025,1.925,0.5,1.275,0.1,0.325,0.9500000000000001
2020-01-07,0.3,0.5,1.9500000000000002,1.85,0.5,1.15,0.1,0.35,1.0
2020-01-08,0.3,0.45,1.875,1.775,0.5,1.025,0.1,0.375,1.05
2020-01-09,0.3,0.4,1.8,1.7,0.5,0.9,0.1,0.4,1.1
2020-01-10,0.5,0.5,1.8,1.9,0.6,1.0,0.2,0.3,1.2
2020-01-11,0.4,0.5,1.8,1.8,0.6,1.3,0.1,0.3,1.1
2020-01-12,0.5,0.5,1.9,1.8,0.6,1.25,0.15000000000000002,0.35,1.1
2020-01-13,0.6,0.5,2.0,1.8,0.6,1.2,0.2,0.4,1.1
2020-01-14,0.4,0.6,2.3,1.6,0.4,1.2,0.1,0.4,0.6
2020-01-15,0.4,0.4,2.0,0.8,0.5,1.2,0.1,0.2,0.8
2020-01-16,0.3,0.5,1.7,3.0,1.0,1.0,0.1,0.4,0.7
2020-01-17,0.3,0.3,1.7,1.4,0.4,1.1,0.1,0.3,0.8
2020-01-18,0.4,0.6,1.8,1.5,0.4,1.2,0.1,0.3,0.7
2020-01-19,0.35,0.55,1.7000000000000002,1.5,0.4,1.0,0.1,0.3,0.7
2020-01-20,0.3,0.5,1.6,1.5,0.4,0.8,0.1,0.3,0.7
2020-01-21,0.3,0.3,1.6,1.9,0.6,1.1,0.1,0.4,1.0
2020-01-22,0.4,0.6,1.6,1.8,0.5,1.3,0.1,0.3,0.7
2020-01-23,0.3,0.5,1.7,2.5,0.8,1.0,0.3,0.3,1.0
2020-01-24,0.3,0.4,1.7,1.8,0.5,1.1,0.2,0.4,1.2
2020-01-25,0.5,0.5,1.8,1.8,0.5,1.0,0.3,0.4,1.3
2020-01-26,0.45,0.4,1.85,1.75,0.5,0.9,0.3,0.4,1.35
2020-01-27,0.4,0.3,1.9,1.7,0.5,0.8,0.3,0.4,1.4
2020-01-28,0.5,0.5,2.1,1.5,0.4,1.2,0.2,0.3,1.6
2020-01-29,0.2,0.5,1.8,1.3,0.3,1.3,0.2,0.2,1.0
2020-01-30,0.3,0.4,1.6,1.6,0.4,1.2,0.2,0.3,1.2
2020-01-31,0.3,0.5,1.5,1.7,0.5,1.2,0.2,0.3,1.8
2020-02-01,0.3,0.5,1.5,1.6,0.4,1.2,0.2,0.1,1.8
2020-02-02,0.25,0.4,1.5,1.35,0.30000000000000004,1.2999999999999998,0.2,0.15000000000000002,1.9
2020-02-03,0.2,0.3,1.5,1.1,0.2,1.4,0.2,0.2,2.0
2020-02-04,0.3,0.4,1.5,1.4,0.3,0.9,0.2,0.2,1.7
2020-02-05,0.2,0.6,1.5,1.4,0.4,1.1,0.1,0.2,2.4
2020-02-06,0.2,0.6,1.6,1.1,0.3,1.4,0.1,0.2,2.6
2020-02-07,0.2,0.5,1.5,1.7,0.4,1.4,0.2,0.2,1.3
2020-02-08,0.3,0.6,1.5,1.4,0.4,1.2,0.1,0.1,1.5
2020-02-09,0.3,0.5,1.55,1.2999999999999998,0.35,1.05,0.1,0.1,1.3
2020-02-10,0.3,0.4,1.6,1.2,0.3,0.9,0.1,0.1,1.1
2020-02-11,0.2,0.5,1.5,1.2,0.3,1.0,0.3,0.4,1.6
2020-02-12,0.2,0.6,1.5,1.0,0.3,1.0,0.1,0.4,1.0
2020-02-13,0.4,0.4,1.5,1.3,0.4,0.9,0.1,0.4,1.0
2020-02-14,0.5,0.5,1.4,1.1,0.3,0.5,0.1,0.3,1.2
2020-02-15,0.4,0.5,1.4,1.0,0.3,0.6,0.2,0.2,1.2
2020-02-16,0.35,0.45,1.4,1.0,0.25,0.7,0.15000000000000002,0.25,1.5
2020-02-17,0.3,0.4,1.4,1.0,0.2,0.8,0.1,0.3,1.8
2020-02-18,0.3,0.3,1.3,1.7,0.5,1.7,0.1,0.3,1.5
2020-02-19,0.4,0.4,1.3,1.0,0.3,1.0,0.1,0.2,1.0
2020-02-20,0.4,0.4,1.1,1.1,0.2,0.8,0.3,0.2,1.1
2020-02-21,0.4,0.5,1.1,0.7,0.1,1.0,0.2,0.3,1.0
2020-02-22,0.4,0.5,1.1,0.8,0.1,0.9,0.2,0.2,1.2
2020-02-23,0.35,0.45,1.15,1.05,0.2,0.95,0.1,0.2,1.2999999999999998
2020-02-24,0.3,0.4,1.2,1.3,0.3,1.0,0.0,0.2,1.4
2020-02-25,0.3,0.5,1.2,1.0,0.2,0.9,0.1,0.2,0.8
2020-02-26,0.3,0.6,1.0,1.1,0.2,1.1,0.1,0.2,1.7
2020-02-27,0.5,0.5,1.0,1.3,0.3,1.0,0.1,0.3,1.1
2020-02-28,0.7,0.5,1.1,1.6,0.4,0.8,0.1,0.3,1.6
2020-02-29,0.5,0.4,1.0,1.8,0.5,0.8,0.1,0.4,1.0
2020-03-01,0.5,0.4,0.97,1.7,0.47,0.78,0.1,0.39,1.01
2020-03-02,0.5,0.4,0.94,1.6,0.44,0.76,0.1,0.38,1.02
2020-03-03,0.5,0.4,0.91,1.5,0.41000000000000003,0.74,0.1,0.37,1.03
2020-03-04,,,,,,,,,
2020-03-05,,,,,,,,,
2020-03-06,,,,,,,,,
2020-03-07,,,,,,,,,
2020-03-08,,,,,,,,,
2020-03-09,,,,,,,,,
2020-03-10,0.5,0.4,0.7,0.8,0.2,0.6,0.1,0.3,1.1
2020-03-11,0.3,0.4,0.7,0.8,0.2,1.2,0.1,0.3,1.1
2020-03-12,0.2,0.4,0.7,0.5,0.1,0.9,0.1,0.3,1.5
2020-03-13,0.3,0.4,0.7,0.8,0.1,1.0,0.1,0.2,1.0
2020-03-14,0.4,0.4,0.7,0.8,0.1,1.0,0.1,0.3,1.2
2020-03-15,0.5,0.4,0.7,1.4500000000000002,0.35,0.8,0.1,0.3,1.1
2020-03-16,0.6,0.4,0.7,2.1,0.6,0.6,0.1,0.3,1.0
2020-03-17,0.5,0.4,0.7,1.1,0.3,1.1,0.1,0.3,0.9
2020-03-18,0.7,0.5,0.6,1.2,0.3,1.0,0.1,0.2,2.8
2020-03-19,0.8,0.4,0.7,1.4,0.4,0.6,0.1,0.2,1.9
2020-03-20,0.7,0.5,0.7,1.0,0.4,0.4,0.2,0.1,0.6
2020-03-21,0.3,0.5,0.7,1.3,0.5,0.6,0.2,0.1,0.9
2020-03-22,0.3,0.45,0.75,1.1,0.35,0.55,0.2,0.1,0.8500000000000001
2020-03-23,0.3,0.4,0.8,0.9,0.2,0.5,0.2,0.1,0.8
2020-03-24,0.3,0.5,0.8,0.9,0.2,0.6,0.2,0.2,0.9
2020-03-25,0.3,0.5,0.8,1.1,0.2,0.7,0.2,0.1,1.1
2020-03-26,0.4,0.5,0.9,1.4,0.5,1.0,0.1,0.3,0.9
2020-03-27,0.5,0.5,0.7,1.3,0.3,1.0,0.1,0.1,0.9
2020-03-28,0.5,0.5,0.8,1.3,0.3,1.1,0.1,0.1,1.5
2020-03-29,0.4,0.55,0.6000000000000001,1.15,0.3,1.1,0.1,0.1,1.2
2020-03-30,0.3,0.6,0.4,1.0,0.3,1.1,0.1,0.1,0.9
2020-03-31,0.3,0.5,0.4,0.9,0.2,0.6,0.1,0.2,1.0
2020-04-01,0.4,0.5,0.4,1.4,0.3,0.7,0.1,0.2,1.1
2020-04-02,0.4,0.5,0.6,1.4,0.4,0.8,0.2,0.2,1.7
2020-04-03,0.5,0.5,0.6,1.6,0.4,0.5,0.1,0.2,1.5
2020-04-04,0.5,0.5,0.5,1.5,0.4,0.5,0.1,0.2,1.8
2020-04-05,0.45,0.5,0.55,1.65,0.45,0.65,0.05,0.2,1.35
2020-04-06,0.4,0.5,0.6,1.8,0.5,0.8,0.0,0.2,0.9
2020-04-07,0.3,0.6,0.6,1.8,0.5,0.9,0.1,0.2,1.7
2020-04-08,0.5,0.6,0.6,1.7,0.5,0.9,0.1,0.4,1.4
2020-04-09,0.5,0.8,0.6,2.1,0.6,0.8,0.2,0.4,1.6
2020-04-10,0.3,0.8,0.6,1.9,0.6,0.4,0.2,0.3,1.8
2020-04-11,0.3,0.7,0.4,1.9,0.6,0.5,0.1,0.3,1.6
2020-04-12,0.3,0.6499999999999999,0.45,2.0999999999999996,0.6499999999999999,0.55,0.1,0.3,1.35
2020-04-13,0.3,0.6,0.5,2.3,0.7,0.6,0.1,0.3,1.1
2020-04-14,0.5,0.4,0.4,2.0,0.6,0.7,0.1,0.2,1.0
2020-04-15,0.4,0.3,0.4,1.9,0.5,0.7,0.1,0.2,1.6
2020-04-16,0.4,0.6,0.5,1.7,0.4,0.6,0.1,0.2,1.2
2020-04-17,0.4,0.5,0.6,1.6,0.4,0.6,0.1,0.2,1.2
2020-04-18,0.3,0.5,0.5,1.9,0.5,0.7,0.1,0.1,1.4
2020-04-19,0.26666666666666666,0.4666666666666667,0.4666666666666667,1.8333333333333333,0.4666666666666667,0.6333333333333333,0.06666666666666668,0.13333333333333333,1.2666666666666666
